2019-08-09 10:30:15,804 - DEBUG - MainThread - mainLogger_logger_MainThread_20190809.log - ['s ', array([10,  6]), ' v ', -0.36564222, ' a ', 2, ' p ', 0.49378982, ' total_step ', 32]
2019-08-09 10:30:15,830 - DEBUG - MainThread - mainLogger_logger_MainThread_20190809.log - ['s ', array([10,  5]), ' v ', -0.36597407, ' a ', 0, ' p ', 0.46242914, ' total_step ', 33]
2019-08-09 10:30:15,854 - DEBUG - MainThread - mainLogger_logger_MainThread_20190809.log - ['s ', array([11,  5]), ' v ', -0.3960566, ' a ', 2, ' p ', 0.4688083, ' total_step ', 34]
2019-08-09 10:30:15,890 - DEBUG - MainThread - mainLogger_logger_MainThread_20190809.log - ['s ', array([11,  4]), ' v ', -0.3968849, ' a ', 2, ' p ', 0.4561086, ' total_step ', 35]
2019-08-09 10:30:15,938 - DEBUG - MainThread - mainLogger_logger_MainThread_20190809.log - ['s ', array([11,  3]), ' v ', -0.37397903, ' a ', 2, ' p ', 0.4539471, ' total_step ', 36]
2019-08-09 10:30:15,968 - DEBUG - MainThread - mainLogger_logger_MainThread_20190809.log - ['s ', array([11,  2]), ' v ', -0.3274986, ' a ', 0, ' p ', 0.45048788, ' total_step ', 37]
2019-08-09 10:30:16,008 - DEBUG - MainThread - mainLogger_logger_MainThread_20190809.log - ['s ', array([12,  2]), ' v ', -0.39723715, ' a ', 2, ' p ', 0.45760655, ' total_step ', 38]
2019-08-09 10:30:16,046 - DEBUG - MainThread - mainLogger_logger_MainThread_20190809.log - ['s ', array([12,  1]), ' v ', -0.40922, ' a ', 0, ' p ', 0.46754843, ' total_step ', 39]
2019-08-09 10:30:16,073 - DEBUG - MainThread - mainLogger_logger_MainThread_20190809.log - ['s ', array([13,  1]), ' v ', -0.51766497, ' a ', 2, ' p ', 0.5084641, ' total_step ', 40]
2019-08-09 10:30:16,101 - DEBUG - MainThread - mainLogger_logger_MainThread_20190809.log - ['s ', array([13,  0]), ' v ', -0.5920567, ' a ', 2, ' p ', 0.5164412, ' total_step ', 41]
2019-08-09 10:30:16,122 - DEBUG - MainThread - mainLogger_logger_MainThread_20190809.log - ['s ', array([13,  0]), ' v ', -0.5920567, ' a ', 0, ' p ', 0.5164412, ' total_step ', 42]
